time_s,x,y,kappa_1_per_m,d0_kappa,supersaturation,residual,v_n_m_per_s
0,9.83402e-05,7.43059e-05,-4921.4,-5.00307e-06,1.91626e-15,5.00307e-06,6.94525e-12
0,0.000197515,6.14583e-05,3282.65,3.33713e-06,1.91626e-15,-3.33713e-06,-4.63259e-12
0,9.83783e-05,7.46016e-05,-4920.52,-5.00218e-06,1.91626e-15,5.00218e-06,6.94402e-12
0,0.000197571,6.19019e-05,3282.86,3.33734e-06,1.91626e-15,-3.33734e-06,-4.63289e-12
0,9.84164e-05,7.48973e-05,-4919.45,-5.00109e-06,1.91626e-15,5.00109e-06,6.9425e-12
0,0.000197626,6.23457e-05,3282.78,3.33725e-06,1.91626e-15,-3.33725e-06,-4.63277e-12
0,9.84545e-05,7.51932e-05,-4918.19,-4.9998e-06,1.91626e-15,4.9998e-06,6.94072e-12
0,0.000197681,6.27898e-05,3282.4,3.33687e-06,1.91626e-15,-3.33687e-06,-4.63225e-12
0,9.84848e-05,7.54287e-05,-4917.07,-4.99867e-06,1.91626e-15,4.99867e-06,6.93914e-12
0,9.84927e-05,7.54892e-05,-4917.38,-4.99899e-06,1.91626e-15,4.99899e-06,6.93959e-12
0,0.000197736,6.32341e-05,3281.76,3.33622e-06,1.91626e-15,-3.33622e-06,-4.63133e-12
0,9.85302e-05,7.57853e-05,-4918.86,-5.00049e-06,1.91626e-15,5.00049e-06,6.94167e-12
0,0.000197791,6.36785e-05,3280.84,3.33529e-06,1.91626e-15,-3.33529e-06,-4.63004e-12
0,9.85668e-05,7.60817e-05,-4920.14,-5.00179e-06,1.91626e-15,5.00179e-06,6.94348e-12
0,0.000197846,6.41231e-05,3279.67,3.3341e-06,1.91626e-15,-3.3341e-06,-4.62839e-12
0,9.86026e-05,7.63783e-05,-4921.23,-5.0029e-06,1.91626e-15,5.0029e-06,6.94501e-12
0,0.000197879,6.43885e-05,3278.88,3.3333e-06,1.91626e-15,-3.3333e-06,-4.62728e-12
0,0.000197901,6.45678e-05,3279.45,3.33387e-06,1.91626e-15,-3.33387e-06,-4.62808e-12
0,9.86376e-05,7.66751e-05,-4922.13,-5.00381e-06,1.91626e-15,5.00381e-06,6.94629e-12
0,0.000197955,6.50129e-05,3280.72,3.33516e-06,1.91626e-15,-3.33516e-06,-4.62986e-12
0,9.8672e-05,7.69721e-05,-4922.86,-5.00455e-06,1.91626e-15,5.00455e-06,6.94731e-12
0,0.000198007,6.54582e-05,3281.71,3.33617e-06,1.91626e-15,-3.33617e-06,-4.63127e-12
0,9.87057e-05,7.72693e-05,-4923.41,-5.00512e-06,1.91626e-15,5.00512e-06,6.9481e-12
0,0.000198058,6.59039e-05,3282.45,3.33692e-06,1.91626e-15,-3.33692e-06,-4.63231e-12
0,9.87389e-05,7.75666e-05,-4923.8,-5.00551e-06,1.91626e-15,5.00551e-06,6.94865e-12
0,0.000198108,6.63499e-05,3282.95,3.33743e-06,1.91626e-15,-3.33743e-06,-4.63301e-12
0,9.87716e-05,7.78641e-05,-4924.04,-5.00575e-06,1.91626e-15,5.00575e-06,6.94898e-12
0,0.000198157,6.67961e-05,3283.21,3.33769e-06,1.91626e-15,-3.33769e-06,-4.63338e-12
0,9.88038e-05,7.81617e-05,-4924.12,-5.00583e-06,1.91626e-15,5.00583e-06,6.94909e-12
0,0.000198206,6.72426e-05,3283.24,3.33773e-06,1.91626e-15,-3.33773e-06,-4.63343e-12
0,9.88356e-05,7.84595e-05,-4924.05,-5.00576e-06,1.91626e-15,5.00576e-06,6.949e-12
