# gamma_ia,gamma_is,gamma_as = 0.109,0.2455,0.3   theta_young = 60.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 60.3622 +/- 0.0432 deg, tau = 1.222207e+06 s, fit_rms = 0.01483, n = 36, error_inf = +0.3622 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
847,1.583330e+06,right,1.000000e-04,87.3823,87.3823,1.089231e-03,2.188947e-04,210,60.0000,27.3823
869,1.627330e+06,left,0.000000e+00,86.4077,86.4077,8.008618e-04,8.078127e-05,210,60.0000,26.4077
869,1.627330e+06,left,1.000000e-04,86.4334,86.4334,8.008618e-04,8.080376e-05,210,60.0000,26.4334
869,1.627330e+06,right,0.000000e+00,86.4077,86.4077,8.008618e-04,2.192187e-04,210,60.0000,26.4077
869,1.627330e+06,right,1.000000e-04,86.4334,86.4334,8.008618e-04,2.191962e-04,210,60.0000,26.4334
891,1.671330e+06,left,0.000000e+00,85.4940,85.4940,6.381890e-04,8.049103e-05,210,60.0000,25.4940
891,1.671330e+06,left,1.000000e-04,85.5189,85.5189,6.381890e-04,8.051281e-05,210,60.0000,25.5189
891,1.671330e+06,right,0.000000e+00,85.4940,85.4940,6.381890e-04,2.195090e-04,210,60.0000,25.4940
891,1.671330e+06,right,1.000000e-04,85.5189,85.5189,6.381890e-04,2.194872e-04,210,60.0000,25.5189
913,1.715330e+06,left,0.000000e+00,84.6127,84.6127,5.337417e-04,8.021078e-05,210,60.0000,24.6127
913,1.715330e+06,left,1.000000e-04,84.6368,84.6368,5.337417e-04,8.023185e-05,210,60.0000,24.6368
913,1.715330e+06,right,0.000000e+00,84.6127,84.6127,5.337417e-04,2.197892e-04,210,60.0000,24.6127
913,1.715330e+06,right,1.000000e-04,84.6368,84.6368,5.337417e-04,2.197682e-04,210,60.0000,24.6368
934,1.757330e+06,left,0.000000e+00,83.7998,83.7998,4.638207e-04,7.995200e-05,210,60.0000,23.7998
934,1.757330e+06,left,1.000000e-04,83.8232,83.8232,4.638207e-04,7.997241e-05,210,60.0000,23.8232
934,1.757330e+06,right,0.000000e+00,83.7998,83.7998,4.638207e-04,2.200480e-04,210,60.0000,23.7998
934,1.757330e+06,right,1.000000e-04,83.8232,83.8232,4.638207e-04,2.200276e-04,210,60.0000,23.8232
